epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.757,1.12645,1.56931,0.01437,0.79883,0.74873,0.84061,0.46853,1.42597,0.99803,0.02294,0.000665705,0.000665705,0.000665705
2,240.123,1.08152,0.72388,0.01381,0.81389,0.762,0.86119,0.53939,1.22603,0.85141,0.01892,0.00133205,0.00133205,0.00133205
3,133.133,1.04289,0.66217,0.01341,0.75195,0.76762,0.82814,0.49749,1.34789,0.95676,0.02061,0.00199709,0.00199709,0.00199709
4,236.459,0.97177,0.61718,0.01228,0.83034,0.76948,0.85998,0.55136,1.21067,0.83788,0.01843,0.00199561,0.00199561,0.00199561
5,340.286,0.9372,0.60026,0.01172,0.82043,0.72921,0.83411,0.54708,1.17439,0.90839,0.01797,0.00199219,0.00199219,0.00199219
6,444.343,0.9016,0.58915,0.0113,0.80454,0.77351,0.85942,0.57719,1.15837,0.81499,0.01758,0.00198781,0.00198781,0.00198781
7,548.511,0.8741,0.5652,0.0108,0.8241,0.727,0.8341,0.53352,1.2199,0.91385,0.01834,0.00198246,0.00198246,0.00198246
8,652.325,0.88017,0.56169,0.01084,0.79436,0.73221,0.83073,0.54314,1.1694,0.94291,0.01793,0.00197616,0.00197616,0.00197616
9,756.161,0.85575,0.55081,0.01074,0.83107,0.76217,0.86543,0.56073,1.19787,0.81465,0.01795,0.0019689,0.0019689,0.0019689
10,860.011,0.83605,0.54271,0.01022,0.77512,0.72892,0.82636,0.54883,1.18019,0.90602,0.01851,0.00196069,0.00196069,0.00196069
11,963.79,0.80873,0.53655,0.00981,0.79945,0.75564,0.85649,0.58989,1.06367,0.81061,0.01567,0.00195155,0.00195155,0.00195155
12,1067.64,0.79864,0.53208,0.00976,0.81531,0.77434,0.86861,0.59009,1.11198,0.77885,0.01637,0.00194147,0.00194147,0.00194147
13,1171.76,0.76438,0.51741,0.00917,0.80041,0.78789,0.86525,0.59173,1.09744,0.74958,0.01631,0.00193048,0.00193048,0.00193048
14,1276.42,0.75849,0.51749,0.00919,0.83485,0.76032,0.87134,0.5946,1.09711,0.78691,0.01665,0.00191858,0.00191858,0.00191858
15,1380.64,0.77194,0.51552,0.00925,0.82298,0.76267,0.86438,0.59609,1.1126,0.77522,0.01706,0.00190578,0.00190578,0.00190578
16,1485.1,0.72426,0.49584,0.00868,0.79737,0.72273,0.83152,0.56249,1.12688,0.89836,0.01714,0.0018921,0.0018921,0.0018921
17,1589.93,0.75581,0.48727,0.00906,0.8238,0.76439,0.86791,0.58895,1.10057,0.77315,0.01661,0.00187754,0.00187754,0.00187754
18,1694.32,0.71273,0.48714,0.00859,0.82662,0.74671,0.862,0.60724,1.03432,0.79862,0.01519,0.00186213,0.00186213,0.00186213
19,1798.51,0.70597,0.48223,0.00844,0.81635,0.76292,0.86459,0.58382,1.11139,0.79141,0.01661,0.00184588,0.00184588,0.00184588
20,1902.4,0.69766,0.46732,0.00828,0.81766,0.77032,0.86423,0.61252,1.02606,0.77776,0.01509,0.00182881,0.00182881,0.00182881
21,2006.26,0.70447,0.48361,0.00839,0.80401,0.78628,0.86666,0.59557,1.10389,0.76474,0.01665,0.00181093,0.00181093,0.00181093
22,2109.94,0.69227,0.47851,0.00809,0.78256,0.77832,0.8502,0.59335,1.05056,0.7842,0.01524,0.00179225,0.00179225,0.00179225
23,2213.74,0.67482,0.45475,0.00799,0.79742,0.74873,0.84749,0.59322,1.05524,0.83301,0.01563,0.00177281,0.00177281,0.00177281
24,2317.68,0.69732,0.46319,0.00832,0.82185,0.79506,0.88006,0.59421,1.15871,0.73587,0.01723,0.00175261,0.00175261,0.00175261
25,2421.81,0.67477,0.4557,0.008,0.8122,0.7513,0.84957,0.58896,1.08689,0.82574,0.01602,0.00173168,0.00173168,0.00173168
26,2526.07,0.66032,0.45471,0.00778,0.84971,0.77987,0.88519,0.63052,1.01034,0.72963,0.01481,0.00171004,0.00171004,0.00171004
27,2630.43,0.65539,0.44994,0.00771,0.82158,0.74605,0.84853,0.59958,1.04857,0.82175,0.01552,0.0016877,0.0016877,0.0016877
28,2734.71,0.64148,0.44091,0.00761,0.81229,0.76686,0.85944,0.61714,0.99992,0.79044,0.01448,0.0016647,0.0016647,0.0016647
29,2838.96,0.63347,0.4436,0.00732,0.81597,0.76089,0.86487,0.63081,0.96758,0.77163,0.01379,0.00164105,0.00164105,0.00164105
30,2943.04,0.65241,0.43663,0.00763,0.83407,0.77968,0.87445,0.60459,1.08407,0.77046,0.01598,0.00161678,0.00161678,0.00161678
31,3047.12,0.62659,0.42269,0.00735,0.82132,0.75236,0.85229,0.60576,1.03023,0.81579,0.01513,0.00159191,0.00159191,0.00159191
32,3151.26,0.62759,0.42398,0.00734,0.82913,0.75712,0.86461,0.62717,0.97782,0.75738,0.01404,0.00156646,0.00156646,0.00156646
33,3255.3,0.63414,0.41649,0.00747,0.78194,0.71736,0.82796,0.60121,0.97912,0.87135,0.01411,0.00154047,0.00154047,0.00154047
34,3359.1,0.60258,0.42473,0.00694,0.84132,0.76458,0.87446,0.63773,0.9638,0.74716,0.01378,0.00151395,0.00151395,0.00151395
35,3462.83,0.59714,0.41479,0.00699,0.82722,0.74367,0.85355,0.61909,0.97963,0.8265,0.01418,0.00148694,0.00148694,0.00148694
36,3567.0,0.5932,0.40657,0.00681,0.81844,0.78696,0.8699,0.62102,1.0118,0.75088,0.01496,0.00145945,0.00145945,0.00145945
37,3671.0,0.59409,0.41302,0.00694,0.81956,0.77388,0.8681,0.61752,1.01099,0.75358,0.01444,0.00143152,0.00143152,0.00143152
38,3774.49,0.58247,0.40216,0.00677,0.84743,0.75619,0.86982,0.6156,1.02723,0.76967,0.0149,0.00140318,0.00140318,0.00140318
39,3878.8,0.58443,0.39619,0.00677,0.84181,0.79331,0.88589,0.64865,0.95877,0.68825,0.01347,0.00137444,0.00137444,0.00137444
40,3982.75,0.57915,0.39294,0.00678,0.82687,0.76734,0.86652,0.61746,1.0276,0.78563,0.01465,0.00134535,0.00134535,0.00134535
41,4086.47,0.57455,0.39633,0.00659,0.82459,0.77244,0.8672,0.63325,0.95113,0.76146,0.01366,0.00131593,0.00131593,0.00131593
42,4190.31,0.56265,0.39275,0.00649,0.83919,0.75562,0.86791,0.62023,0.99151,0.77483,0.01394,0.0012862,0.0012862,0.0012862
43,4294.53,0.56605,0.37917,0.00649,0.84053,0.78033,0.87582,0.62779,0.98532,0.75361,0.01392,0.0012562,0.0012562,0.0012562
44,4398.53,0.54136,0.3715,0.00616,0.84188,0.78364,0.87168,0.63268,0.96992,0.77031,0.01377,0.00122596,0.00122596,0.00122596
45,4502.34,0.5594,0.37023,0.00648,0.83188,0.78355,0.87297,0.64111,0.94972,0.75855,0.01323,0.00119551,0.00119551,0.00119551
46,4606.37,0.53823,0.35922,0.00614,0.83125,0.78327,0.87348,0.64169,0.94078,0.75743,0.01333,0.00116487,0.00116487,0.00116487
47,4710.58,0.52903,0.36066,0.00603,0.82548,0.76983,0.86101,0.62036,0.97682,0.79416,0.01394,0.00113408,0.00113408,0.00113408
48,4814.35,0.53404,0.36082,0.00618,0.84643,0.77075,0.87019,0.63453,0.95069,0.78848,0.01346,0.00110317,0.00110317,0.00110317
49,4918.8,0.5295,0.35629,0.00609,0.83259,0.76881,0.86478,0.61832,0.98739,0.79006,0.01406,0.00107216,0.00107216,0.00107216
50,5022.95,0.52692,0.35142,0.00603,0.85156,0.76531,0.8762,0.64703,0.94652,0.77239,0.01332,0.0010411,0.0010411,0.0010411
51,5127.48,0.51785,0.35946,0.00592,0.8356,0.76124,0.86542,0.64513,0.91986,0.78329,0.01278,0.00101,0.00101,0.00101
52,5231.64,0.51382,0.35879,0.00585,0.84551,0.74965,0.86419,0.64295,0.94429,0.77825,0.01335,0.000978903,0.000978903,0.000978903
53,5335.63,0.50987,0.35332,0.00582,0.83543,0.78553,0.87442,0.6381,0.97664,0.74797,0.01383,0.000947837,0.000947837,0.000947837
54,5439.56,0.48882,0.33083,0.00553,0.84691,0.76688,0.87281,0.64447,0.94167,0.8033,0.01322,0.000916833,0.000916833,0.000916833
55,5543.82,0.49516,0.33117,0.00553,0.84288,0.76172,0.86708,0.6419,0.93838,0.82347,0.01312,0.00088592,0.00088592,0.00088592
56,5647.86,0.48645,0.32177,0.0055,0.83094,0.77234,0.86929,0.647,0.90865,0.78569,0.01272,0.00085513,0.00085513,0.00085513
57,5752.77,0.49409,0.32838,0.00556,0.8336,0.76725,0.8664,0.65022,0.91069,0.807,0.01266,0.000824492,0.000824492,0.000824492
58,5857.48,0.48453,0.32451,0.0055,0.84719,0.76798,0.86471,0.64321,0.92105,0.83063,0.01288,0.000794038,0.000794038,0.000794038
59,5961.49,0.47789,0.31999,0.00543,0.85391,0.75105,0.85785,0.63011,0.95922,0.8559,0.01338,0.000763797,0.000763797,0.000763797
60,6066.1,0.46919,0.3214,0.00524,0.83921,0.76245,0.85907,0.62306,0.98894,0.84131,0.01379,0.000733799,0.000733799,0.000733799
61,6170.73,0.47153,0.31495,0.00533,0.83958,0.73289,0.83979,0.60707,1.00415,0.91621,0.01438,0.000704073,0.000704073,0.000704073
62,6274.71,0.46281,0.30804,0.00514,0.8247,0.75789,0.84254,0.60507,0.99975,0.88466,0.0141,0.000674649,0.000674649,0.000674649
63,6378.69,0.45718,0.30554,0.00513,0.83359,0.7375,0.84481,0.62536,0.93597,0.92905,0.01303,0.000645557,0.000645557,0.000645557
64,6482.59,0.45302,0.30028,0.00511,0.8437,0.73882,0.84768,0.63313,0.91455,0.91396,0.01269,0.000616824,0.000616824,0.000616824
65,6586.38,0.44956,0.30071,0.00505,0.85118,0.7561,0.86447,0.63584,0.93852,0.83021,0.01313,0.000588479,0.000588479,0.000588479
66,6690.44,0.44982,0.30007,0.00503,0.85299,0.76826,0.85865,0.64032,0.93154,0.85988,0.01299,0.000560549,0.000560549,0.000560549
67,6794.26,0.44054,0.29105,0.00491,0.84403,0.76262,0.85288,0.63495,0.9366,0.88401,0.01305,0.000533064,0.000533064,0.000533064
68,6898.63,0.44468,0.29866,0.00501,0.84663,0.75269,0.8552,0.63734,0.91909,0.88789,0.01265,0.000506049,0.000506049,0.000506049
69,7002.55,0.43426,0.28449,0.00483,0.84233,0.76108,0.85517,0.63947,0.92027,0.90907,0.01294,0.000479531,0.000479531,0.000479531
70,7107.05,0.42725,0.28128,0.0048,0.8559,0.7585,0.86093,0.64677,0.91429,0.87499,0.0127,0.000453537,0.000453537,0.000453537
71,7211.41,0.42408,0.27517,0.00474,0.84694,0.75838,0.8559,0.63846,0.92454,0.88343,0.01293,0.000428093,0.000428093,0.000428093
72,7315.86,0.42329,0.27826,0.00469,0.83473,0.77747,0.86184,0.64132,0.92433,0.84992,0.01295,0.000403222,0.000403222,0.000403222
73,7419.94,0.42074,0.27539,0.00468,0.84453,0.76126,0.85355,0.63662,0.92783,0.88186,0.0129,0.00037895,0.00037895,0.00037895
74,7524.11,0.41292,0.26677,0.00451,0.84796,0.75555,0.85722,0.63368,0.93739,0.88234,0.01303,0.000355301,0.000355301,0.000355301
75,7627.77,0.41319,0.26807,0.0045,0.86511,0.74018,0.8454,0.6326,0.92462,0.94664,0.01275,0.000332298,0.000332298,0.000332298
76,7731.88,0.41215,0.26097,0.00459,0.86244,0.74892,0.85323,0.63442,0.93177,0.91346,0.01294,0.000309964,0.000309964,0.000309964
77,7835.92,0.4019,0.25551,0.00438,0.86462,0.73765,0.84603,0.63229,0.92072,0.96033,0.01281,0.000288321,0.000288321,0.000288321
